event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
177,2026-05-14T06:11:51.285,OMPL_PLAN,START,,"place(0.165, -0.125) retreat",,RRTConnect,,,0.0400,,"[""cube1""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.3656, 0.4687, 0.1429, -2.1039, -0.1067, 2.5401, -0.5853], ""goal_q"": [-0.3465, 0.1438, 0.133, -2.0197, -0.0227, 2.1713, -0.6346]}"
178,2026-05-14T06:11:51.734,OMPL_PLAN,OK,,"place(0.165, -0.125) retreat",,BITstar,35,448,,,,,,,"{""path_length"": 0.5085, ""selected_goal_q"": [-0.34653841012741654, 0.14381939126728638, 0.13302107410108505, -2.0197452400208133, -0.02265335831459841, 2.171293565665802, -0.6346191861682271]}"
179,2026-05-14T06:11:51.735,TRAJECTORY_EXEC,START,,,,,35,,0.0400,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
180,2026-05-14T06:11:51.735,TRAJECTORY_WAYPOINT,EXEC,,,,,1/35,,0.0400,,,,,,"{""q"": [-0.3656, 0.4687, 0.1429, -2.1039, -0.1067, 2.5401, -0.5853]}"
181,2026-05-14T06:11:51.896,TRAJECTORY_WAYPOINT,EXEC,,,,,9/35,,0.0400,,,,,,"{""q"": [-0.3611, 0.3922, 0.1406, -2.0841, -0.0869, 2.4533, -0.5969]}"
182,2026-05-14T06:11:52.056,TRAJECTORY_WAYPOINT,EXEC,,,,,17/35,,0.0400,,,,,,"{""q"": [-0.3566, 0.3158, 0.1383, -2.0643, -0.0672, 2.3665, -0.6085]}"
183,2026-05-14T06:11:52.225,TRAJECTORY_WAYPOINT,EXEC,,,,,25/35,,0.0400,,,,,,"{""q"": [-0.3522, 0.2394, 0.1359, -2.0445, -0.0474, 2.2798, -0.6201]}"
184,2026-05-14T06:11:52.380,TRAJECTORY_WAYPOINT,EXEC,,,,,33/35,,0.0400,,,,,,"{""q"": [-0.3477, 0.1629, 0.1336, -2.0247, -0.0276, 2.193, -0.6317]}"
185,2026-05-14T06:11:52.420,TRAJECTORY_WAYPOINT,EXEC,,,,,35/35,,0.0400,,,,,,"{""q"": [-0.3465, 0.1438, 0.133, -2.0197, -0.0227, 2.1713, -0.6346]}"
186,2026-05-14T06:11:52.473,TRAJECTORY_EXEC,OK,,,,,35,737,,,,,,,
187,2026-05-14T06:11:52.473,MOVE_POSE,OK,,"place(0.165, -0.125) retreat",,,,,,,,,,,
188,2026-05-14T06:11:52.473,PLACE,OK,cube1,,,,,,,"[0.165, -0.125, 0.83]",,,,,
189,2026-05-14T06:11:53.426,PICK,START,cube2,,,,,,,,,,,,
190,2026-05-14T06:11:53.426,PICK_PROFILE,SELECT,cube2,,,,,,0.0150,,,,,,"{""profile_index"": 0, ""grasp_offset"": 0.1, ""clearance_bonus"": 0.0}"
191,2026-05-14T06:11:53.584,OBSTACLE_AVOID,CLEAR,cube2,,,,,,,,,,,0.2973,"{""approach_clearance"": 0.3}"
192,2026-05-14T06:11:53.584,MOVE_POSE,START,,pick(cube2) pregrasp,,,,,0.0400,"[0.36, -0.42, 1.1294]",[],,,,
